Timestamp,open,high,low,close
2024-08-21 01:00:00,8795.92,8797.01,8795.65,8797.01
2024-08-21 01:05:00,8796.85,8801.69,8796.59,8801.49
2024-08-21 01:10:00,8801.49,8803.87,8798.33,8798.6
2024-08-21 01:15:00,8798.62,8801.36,8798.12,8800.92
2024-08-21 01:20:00,8801.08,8801.6,8799.61,8799.73
2024-08-21 01:00:00,8795.92,8797.01,8795.65,8797.01
2024-08-21 01:05:00,8796.85,8801.69,8796.59,8801.49
2024-08-21 01:10:00,8801.49,8803.87,8798.33,8798.6
2024-08-21 01:15:00,8798.62,8801.36,8798.12,8800.92
2024-08-21 01:20:00,8801.08,8801.6,8795.35,8795.59
2024-08-21 01:25:00,8795.48,8795.65,8794.96,8795.65
2024-08-21 01:25:00,8795.58,8795.58,8794.6,8794.93
2024-08-21 01:25:00,8794.77,8794.93,8793.94,8794.06
2024-08-21 01:25:00,8794.2,8794.41,8792.93,8793.45
2024-08-21 01:25:00,8793.65,8793.65,8792.73,8792.85
2024-08-21 01:25:00,8792.56,8793.21,8792.49,8792.86
2024-08-21 01:25:00,8792.99,8793.39,8792.96,8793.39
2024-08-21 01:25:00,8793.3,8794.19,8793.3,8793.93
2024-08-21 01:25:00,8793.65,8794.22,8793.32,8793.7
2024-08-21 01:25:00,8793.65,8793.87,8792.36,8792.98
2024-08-21 01:25:00,8793.16,8793.81,8792.86,8793.14
2024-08-21 01:30:00,8793.34,8793.34,8792.83,8793.12
2024-08-21 01:30:00,8793.31,8794.03,8792.73,8793.32
2024-08-21 01:30:00,8793.35,8794.29,8793.35,8793.74
2024-08-21 01:30:00,8793.87,8794.16,8793.17,8793.17
2024-08-21 01:30:00,8793.56,8794.19,8793.26,8793.66
2024-08-21 01:30:00,8793.86,8795.42,8793.86,8794.84
2024-08-21 01:30:00,8794.51,8795.02,8794.29,8794.97
2024-08-21 01:30:00,8794.82,8795.01,8794.07,8795.01
2024-08-21 01:30:00,8794.79,8795.25,8794.39,8795.25
2024-08-21 01:30:00,8795.38,8795.62,8794.01,8794.01
2024-08-21 01:30:00,8793.85,8795.13,8793.85,8794.96
2024-08-21 01:35:00,8794.78,8794.78,8793.64,8794.21
2024-08-21 01:35:00,8794.19,8795.06,8793.66,8793.66
2024-08-21 01:35:00,8794.04,8794.74,8794.04,8794.2
2024-08-21 01:35:00,8794.16,8794.45,8793.68,8794.25
2024-08-21 01:35:00,8794.25,8794.75,8793.6,8793.84
2024-08-21 01:35:00,8793.89,8794.14,8792.79,8793.33
2024-08-21 01:35:00,8793.73,8793.73,8792.73,8792.79
2024-08-21 01:35:00,8792.66,8793.26,8792.6,8793.0
2024-08-21 01:35:00,8793.03,8793.25,8792.55,8792.86
2024-08-21 01:35:00,8792.7,8793.43,8792.39,8792.54
2024-08-21 01:35:00,8792.89,8793.32,8792.48,8793.01
2024-08-21 01:40:00,8793.18,8793.22,8792.76,8792.82
2024-08-21 01:40:00,8793.01,8793.86,8792.83,8793.21
2024-08-21 01:40:00,8793.06,8794.9,8793.02,8794.82
